Product ID,Field,English Content,Finnish Translation
"15490611839325","body_html","The perfect stretch ladies tee in 90% cotton and 10% elastane. Full feeder elastane for smoother fab...","Täydellinen joustava T-paita. Neuloksen jokaisessa silmukassa on käytetty elastaania, jonka ansiosta..."
"15490611839325","handle","t450","T400"
"15490611839325","product_type","Apparel","T-paidat"
"15490614886749","title","Ladies 3/4 Sleeve Stretch Tee","STRETCH TEE"
"15490614886749","body_html","The perfect stretch ladies tee in 90% cotton and 10% elastane. Full feeder elastane for smoother fab...","Täydellinen joustava T-paita. Neuloksen jokaisessa silmukassa on käytetty elastaania, jonka ansiosta..."
"15490614886749","handle","t460","T400"
"15490614886749","product_type","Long sleeve t-shirts","T-paidat"
"15490618098013","title","Luxury Tee","LUXURY TEE"
"15490618098013","body_html","Our Luxury Tee is, by far, the best quality single jersey T-shirt we have in our collection. The uni...","Malliston paras single jersey T-paita, joka on valmistettu korkealaatuisesta, pitkäkuituisesta orgaa..."
"15490618098013","handle","t5000","T5000"
"15490618098013","product_type","Apparel","T-paidat"
"15490620293469","title","Baseball Tee","PITKÄHIHAINEN BASEBALL TEE"
"15490620293469","body_html","• Material: 100% ringspun combed cotton. 
(Heather: 85% cotton 15% viscose)
• Weight: 185 g/m²
• Tai...","Pitkähihainen Baseball Tee kaarevilla raglanhihoilla. Klassisessa baseball-paidassa on elastaania si..."
"15490620293469","handle","t5072","T5072"
"15490620293469","product_type","Apparel","T-paidat"
"15490621768029","title","Mens Interlock Tee","INTERLOCK TEE"
"15490621768029","body_html","Made of ringspun longfiber 40 singles cotton to give a fine smooth fabric ideal for printing and emb...","Pehmeä, ylellisen tuntuinen interlock T-paita. Valmistettu rengaskehrätystä pitkäkuituisesta puuvill..."
"15490621768029","handle","t520","Poisto-T520"
"15490621768029","product_type","Apparel","Outlet"
"15490653159773","title","Ladies Interlock Tee","INTERLOCK TEE"
"15490653159773","body_html","New state of the art interlock quality. The combination of unique fabric and new design makes our ne...","Pehmeä, ylellisen tuntuinen interlock T-paita. Valmistettu rengaskehrätystä pitkäkuituisesta puuvill..."
"15490653159773","handle","t580","Poisto-T520"
"15490653159773","product_type","Apparel","Outlet"
"15490673049949","title","Ladies Fashion Cooldry T-shirt","ARKI KÄSIPYYHE 50 x 70 CM"
"15490673049949","body_html","The soft breathable and lightweight fabric gives this shirt a natural feel. CoolDry fabrics moves pe...","Sopii nimensä mukaisesti arjen luksukseen.
Sileä boordiosa sopii painettavaksi, brodeerattavaksi tai..."
"15490673049949","handle","t7021","730"
"15490673049949","product_type","Technical t-shirts","Tarjoukset"
"15490682847581","title","Long Sleeve Cooldry Tee","COOLDRY TEE"
"15490682847581","body_html","This Long Sleeve CoolDry Tee with flat lock seams ensures the best comfort. The tee is tailored fit ...","Ainutlaatuinen CoolDry Tee on valmistettu pehmeästä, kevyestä ja hengittävästä kankaasta, joka siirt..."
"15490682847581","handle","t7022","T7020"
"15490682847581","product_type","Long sleeve t-shirts","T-paidat"
"15490686583133","title","Sof Tee T","SOF TEE"
"15490686583133","body_html","One of the best heavyweight T-shirts. Made of ringspun longfiber cotton to give a fine smooth fabric...","Sof Tee on yksi markkinoiden parhaista paksuista T-paidoista ja se sopii myös työkäyttöön, sillä sen..."
"15490686583133","handle","t8000","T8000"
"15490686583133","product_type","Apparel","T-paidat"
"15490694349149","title","Mens Fashion Sof Tee","SOF TEE"
"15490694349149","body_html","Made of ringspun longfiber cotton to give a fine smooth fabric ideal for printing and embroidery.

•...","Sof Tee on yksi markkinoiden parhaista paksuista T-paidoista ja se sopii myös työkäyttöön, sillä sen..."
"15490694349149","handle","t8005","T8000"
"15490694349149","product_type","Apparel","T-paidat"
"15490697036125","title","Long Sleeve Fashion Sof Tee","SOF TEE"
"15490697036125","body_html","• Material: 100% ringspun combed cotton
• Weight: 185 g/m²
• 2 layer collar with lycra
• Shoulder to...","Sof Tee on yksi markkinoiden parhaista paksuista T-paidoista ja se sopii myös työkäyttöön, sillä sen..."
"15490697036125","handle","t8007","T8000"
"15490697036125","product_type","Apparel","T-paidat"
"15490699821405","title","Ladies Fashion Sof-tee","SOF TEE"
"15490699821405","body_html","Made of ringspun longfiber cotton to give a fine smooth fabric ideal for printing and embroidery.

•...","Sof Tee on yksi markkinoiden parhaista paksuista T-paidoista ja se sopii myös työkäyttöön, sillä sen..."
"15490699821405","handle","t8050","T8000"
"15490699821405","product_type","Apparel","T-paidat"
"15490711519581","title","Pima Pikee | Poistuva Väri","PIMA PIKEE | POISTUVA VÄRI"
"15490711519581","body_html","• Materiaali: 100 % rengaskehrättyä Pima -puuvillaa
• Paino: 220 g/m²
• Pima-puuvillakaulus
• Tuplak...","• Materiaali: 100 % rengaskehrättyä Pima -puuvillaa
• Paino: 220 g/m²
• Pima-puuvillakaulus
• Tuplak..."
"15490711519581","handle","poisto-t1440","Poisto-T1440"
"15490711519581","product_type","Apparel","Outlet"
"15490711912797","title","Naisten Luxury Stretch Pikee","NAISTEN LUXURY STRETCH PIKEE"
