Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bleaching (product.metafields.stanley_stella.bleaching),Category (product.metafields.stanley_stella.category),Categorycode (product.metafields.stanley_stella.categorycode),Cleaning (product.metafields.stanley_stella.cleaning),Countryoforigin (product.metafields.stanley_stella.countryoforigin),Drying (product.metafields.stanley_stella.drying),Fit (product.metafields.stanley_stella.fit),Gauge (product.metafields.stanley_stella.gauge),Gender (product.metafields.stanley_stella.gender),Ironing (product.metafields.stanley_stella.ironing),Languagecode (product.metafields.stanley_stella.languagecode),Longdescription (product.metafields.stanley_stella.longdescription),Longnote (product.metafields.stanley_stella.longnote),Neckline (product.metafields.stanley_stella.neckline),Piecesperbox (product.metafields.stanley_stella.piecesperbox),Piecesperpolybag (product.metafields.stanley_stella.piecesperpolybag),Productlifecycle (product.metafields.stanley_stella.productlifecycle),Product Grouping Option 1 (product.metafields.stanley_stella.product_grouping_option_1),Product Grouping Option 1 Value (product.metafields.stanley_stella.product_grouping_option_1_value),Shortnote (product.metafields.stanley_stella.shortnote),Sleeve (product.metafields.stanley_stella.sleeve),Stylecode (product.metafields.stanley_stella.stylecode),Stylenotice (product.metafields.stanley_stella.stylenotice),Stylepublished (product.metafields.stanley_stella.stylepublished),Stylesegment (product.metafields.stanley_stella.stylesegment),Type (product.metafields.stanley_stella.type),Typecode (product.metafields.stanley_stella.typecode),Washing (product.metafields.stanley_stella.washing),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
stella-navigator,,,,,,,,,M,,,Stargazer - C702,,,,,STJW166C7021M,342.0,shopify,360,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,g,,,
stella-navigator,,,,,,,,,M,,,French Navy - C727,,,,,STJW166C7271M,342.0,shopify,1091,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,g,,,
stella-navigator,,,,,,,,,L,,,Black - C002,,,,,STJW166C0021L,342.0,shopify,967,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,g,,,
stella-navigator,,,,,,,,,L,,,Anthracite - C253,,,,,STJW166C2531L,342.0,shopify,407,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,g,,,
stella-navigator,,,,,,,,,L,,,Stargazer - C702,,,,,STJW166C7021L,342.0,shopify,203,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,g,,,
stella-navigator,,,,,,,,,L,,,French Navy - C727,,,,,STJW166C7271L,342.0,shopify,585,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,g,,,
stella-navigator,,,,,,,,,XL,,,Black - C002,,,,,STJW166C0021X,342.0,shopify,391,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,g,,,
stella-navigator,,,,,,,,,XL,,,Anthracite - C253,,,,,STJW166C2531X,342.0,shopify,168,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,g,,,
stella-navigator,,,,,,,,,XL,,,Stargazer - C702,,,,,STJW166C7021X,342.0,shopify,47,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,g,,,
stella-navigator,,,,,,,,,XL,,,French Navy - C727,,,,,STJW166C7271X,342.0,shopify,214,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,g,,,
stella-navigator,,,,,,,,,XXL,,,Black - C002,,,,,STJW166C0022X,342.0,shopify,147,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C002.jpg?v=1751951545,g,,,
stella-navigator,,,,,,,,,XXL,,,Anthracite - C253,,,,,STJW166C2532X,342.0,shopify,58,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C253.jpg?v=1751951546,g,,,
stella-navigator,,,,,,,,,XXL,,,Stargazer - C702,,,,,STJW166C7022X,342.0,shopify,43,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STJW166_C702.jpg?v=1751951396,g,,,
stella-navigator,,,,,,,,,XXL,,,French Navy - C727,,,,,STJW166C7272X,342.0,shopify,17,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STJW166_C727.jpg?v=1751951550,g,,,
breezer-xxs,Breezer - XXS,The unisex relaxed mid-light t-shirt,Stanley/Stella,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,T-shirts,Stanley/Stella Importer,true,Size,XXS,,Color,Lemon Sorbet - C133,,,,,STTU964C1332S,155.0,shopify,581,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C715.jpg?v=1751952074,1,Breezer,false,,,,,,,,,,,,,,No,Tees,TEES,No,BD,Tumble Dry No,Relaxed Fit,'0,Unisex,110°,en_US,"Set-in sleeve
1X1 rib at neck collar
Inside back neck tape in self fabric
Twin needle topstitch at sleeve cuff and hem",false,Round Neck,'50,'5,Permanent,breezer,XXS,false,Short Sleeve,STTU964,N/A,TRUE,ICONIC MID-LIGHT,T-shirts,T-SHIRT,30°,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM4_STTU964_C133.jpg?v=1751952415,g,,,active
breezer-xxs,,,,,,,,,XXS,,,Violet - C134,,,,,STTU964C1342S,155.0,shopify,497,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C134.jpg?v=1751952367,2,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C134.jpg?v=1751952367,g,,,
breezer-xxs,,,,,,,,,XXS,,,Cream - C361,,,,,STTU964C3612S,155.0,shopify,595,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM9_STTU964_C134.jpg?v=1751952391,3,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM9_STTU964_C361.jpg?v=1751952755,g,,,
breezer-xxs,,,,,,,,,XXS,,,Stone - C358,,,,,STTU964C3582S,155.0,shopify,545,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM4_STTU964_C133.jpg?v=1751952415,4,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C358.jpg?v=1751952950,g,,,
breezer-xxs,,,,,,,,,XXS,,,Black - C002,,,,,STTU964C0022S,155.0,shopify,588,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM4_STTU964_C134.jpg?v=1751952440,5,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C002.jpg?v=1751953146,g,,,
breezer-xxs,,,,,,,,,XXS,,,White - C001,,,,,STTU964C0012S,155.0,shopify,489,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM3_STTU964_C133.jpg?v=1751952464,6,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STTU964_C001.jpg?v=1751953341,g,,,
