Field Name,Value
images.image.11.src,https://www.skyprotextiles.com/media/products/images/10330/29435.jpg
images.image.11.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29435.jpg
images.image.11.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_White.jpg
images.image.11.image_category_id,0
images.image.11.image_category_name,General images
images.image.11.caption,White
images.image.12.id,29445
images.image.12.modified,10.06.2024 14:47:03
images.image.12.src,https://www.skyprotextiles.com/media/products/images/10330/29445.jpg
images.image.12.lowres_src,https://www.skyprotextiles.com/var/www/media/products/images/10330/lowres/lr-29445.jpg
images.image.12.name,Fruit_of_the_Loom_10330_Lasten_Valueweight_T-paita_Yellow.jpg
images.image.12.image_category_id,0
images.image.12.image_category_name,General images
images.image.12.caption,Yellow
documents.document.src,https://www.skyprotextiles.com/products/search/id/10330-kids-valueweight-t/p/8/73198/
documents.document.mimetype,application/pdf
variants.variant.0.code,1033030092
variants.variant.0.recommended_retail_price,3.50
variants.variant.0.recommended_retail_price_brutto,4.39
variants.variant.0.wholesale_price,
variants.variant.0.discount,0.00
variants.variant.0.vat,25.50
variants.variant.0.currency,EUR
variants.variant.0.color,30
variants.variant.0.hexcolors.hexcolor,#ffffff
variants.variant.0.color_name,White
variants.variant.0.size,092
variants.variant.0.available,50-100
variants.variant.0.free_stock,87
variants.variant.0.incoming,0
variants.variant.0.mfstock,0
variants.variant.0.outlet_discount_percent,
variants.variant.0.leaving,0
variants.variant.1.code,1033030098
variants.variant.1.recommended_retail_price,3.50
variants.variant.1.recommended_retail_price_brutto,4.39
variants.variant.1.wholesale_price,
variants.variant.1.discount,0.00
variants.variant.1.vat,25.50
variants.variant.1.currency,EUR
variants.variant.1.color,30
variants.variant.1.hexcolors.hexcolor,#ffffff
variants.variant.1.color_name,White
variants.variant.1.size,098
variants.variant.1.available,0
variants.variant.1.free_stock,0
variants.variant.1.incoming,0
variants.variant.1.mfstock,4752
variants.variant.1.outlet_discount_percent,
variants.variant.1.leaving,0
variants.variant.2.code,1033030104
variants.variant.2.recommended_retail_price,3.50
variants.variant.2.recommended_retail_price_brutto,4.39
variants.variant.2.wholesale_price,
variants.variant.2.discount,0.00
variants.variant.2.vat,25.50
variants.variant.2.currency,EUR
variants.variant.2.color,30
variants.variant.2.hexcolors.hexcolor,#ffffff
variants.variant.2.color_name,White
variants.variant.2.size,104
variants.variant.2.available,50-100
variants.variant.2.free_stock,98
variants.variant.2.incoming,0
variants.variant.2.mfstock,7992
variants.variant.2.outlet_discount_percent,
variants.variant.2.leaving,0
variants.variant.3.code,1033030116
variants.variant.3.recommended_retail_price,3.50
variants.variant.3.recommended_retail_price_brutto,4.39
variants.variant.3.wholesale_price,
variants.variant.3.discount,0.00
variants.variant.3.vat,25.50
variants.variant.3.currency,EUR
variants.variant.3.color,30
variants.variant.3.hexcolors.hexcolor,#ffffff
variants.variant.3.color_name,White
variants.variant.3.size,116
variants.variant.3.available,< 10
variants.variant.3.free_stock,6
variants.variant.3.incoming,0
variants.variant.3.mfstock,0
variants.variant.3.outlet_discount_percent,
variants.variant.3.leaving,0
variants.variant.4.code,1033030128
variants.variant.4.recommended_retail_price,3.50
variants.variant.4.recommended_retail_price_brutto,4.39
variants.variant.4.wholesale_price,
variants.variant.4.discount,0.00
variants.variant.4.vat,25.50
variants.variant.4.currency,EUR
variants.variant.4.color,30
variants.variant.4.hexcolors.hexcolor,#ffffff
variants.variant.4.color_name,White
variants.variant.4.size,128
variants.variant.4.available,50-100
variants.variant.4.free_stock,75
variants.variant.4.incoming,0
variants.variant.4.mfstock,26136
variants.variant.4.outlet_discount_percent,
variants.variant.4.leaving,0
variants.variant.5.code,1033030140
variants.variant.5.recommended_retail_price,3.50
variants.variant.5.recommended_retail_price_brutto,4.39
variants.variant.5.wholesale_price,
variants.variant.5.discount,0.00
variants.variant.5.vat,25.50
variants.variant.5.currency,EUR
variants.variant.5.color,30
variants.variant.5.hexcolors.hexcolor,#ffffff
variants.variant.5.color_name,White
variants.variant.5.size,140
variants.variant.5.available,10-50
variants.variant.5.free_stock,43
variants.variant.5.incoming,0
variants.variant.5.mfstock,36396
variants.variant.5.outlet_discount_percent,
variants.variant.5.leaving,0
variants.variant.6.code,1033030152
variants.variant.6.recommended_retail_price,3.50
variants.variant.6.recommended_retail_price_brutto,4.39
variants.variant.6.wholesale_price,
variants.variant.6.discount,0.00
variants.variant.6.vat,25.50
